embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,DP_Lower,DP_Upper,LCA_F1,LCA_F1_Lower,LCA_F1_Upper,TED
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,5,0.4513892483505514,0.21405377637317533,-0.0005340975607228107,0.0038344217328877073,0.5118836609904084,0.0,1.0,0.40091373709427475,0.0,0.8432224766895153,1232
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,13,0.2867890002876467,0.1259022459176572,0.0007758263114348024,0.015228205568679177,0.37975398667095894,0.0,1.0,0.3191944061355448,0.0,0.8064262392895731,1232
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,38,0.15952935864416593,0.13095083139390595,0.000810920661657773,0.02554778372173175,0.28886441037321764,0.0,1.0,0.24331011613335254,0.0,0.7805313986187972,1232
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,120,0.08534059447523086,0.4113651312649579,0.003594410664996336,0.10899160329177733,0.3256679713340052,0.0,1.0,0.2860113135734239,0.0,0.9703078837271186,1232
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,350,0.15640223459718947,0.9723881076221665,0.07659222287955124,0.38674938559597083,0.4456357521647684,0.0,1.0,0.4444890951869295,0.0,1.0,1232
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,5,0.7239570896625642,0.8849759025062435,0.6512970092122781,0.6975600637623303,0.7448199045260988,0.1618182940616435,1.0,0.5555681626228465,0.07484066143296048,1.0,1030
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,13,0.5038227160415532,0.9086481974172207,0.4526344813291907,0.653495184829669,0.5642771495016773,0.0,1.0,0.4430266085566324,0.0,0.8886439395587331,1030
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,38,0.39334217071364647,0.9627317550646389,0.37255454170744057,0.6190630755975708,0.4090664033594362,0.0,1.0,0.3546913888181553,0.0,0.8416077795543591,1030
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,120,0.33859699664982024,0.9871138717218471,0.3288380334998252,0.5221069533450484,0.3678235356090954,0.0,1.0,0.3678995896120351,0.0,0.9311738569597854,1030
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,350,0.3079187812591511,0.9961940364560283,0.2986616338644191,0.3926350012264796,0.41308005381863394,0.0,1.0,0.4038840717897182,0.0,1.0,1030
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,5,0.666141885536065,0.8288184157958768,0.546814760074979,0.6419177692539033,0.7941071504296212,0.21066548955696351,1.0,0.599790921411849,0.07727019955573222,1.0,1114
