Embedding Model Name,FM,Rand,ARI,AMI
Qwen/Qwen3-Embedding-0.6B,"[np.float64(0.005956035079688324), np.float64(0.027094442401638677), np.float64(0.23744953353155687)]","[0.9836379222659729, 0.9465724875349597, 0.631955428071754]","[-7.410340240969878e-05, -3.5098057491633085e-05, -0.0003628215460872995]","[-8.816121846373263e-05, -0.000649100062235513, -8.572435516983038e-05]"
sentence-transformers/all-MiniLM-L6-v2,"[np.float64(0.005956035079688324), np.float64(0.027094442401638677), np.float64(0.23744953353155687)]","[0.9836379222659729, 0.9465724875349597, 0.631955428071754]","[-7.410340240969878e-05, -3.5098057491633085e-05, -0.0003628215460872995]","[-8.816121846373263e-05, -0.000649100062235513, -8.572435516983038e-05]"
