embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1,TED
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,58,0.26719887135197234,0.9161135797028713,0.19772621859433767,0.47264916791259826,0.301404594438286,0.31351171657965354,
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,72,0.2160157521130634,0.9160458464413516,0.13859973365039305,0.42554087633934173,0.3916757703719158,0.4827895812875718,
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,58,0.26719887135197234,0.9161135797028713,0.19772621859433767,0.47264916791259826,0.301404594438286,0.31351171657965354,
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,72,0.2160157521130634,0.9160458464413516,0.13859973365039305,0.42554087633934173,0.3916757703719158,0.4827895812875718,
