embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1,TED
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,7,0.40684778637528285,0.7851237677228918,0.2756443925853254,0.401820792741891,0.40966498629555365,0.47165968152191623,
Qwen/Qwen3-Embedding-0.6B,Hercules,direct,143,0.23960022427410615,0.9879513490299742,0.23329307864128548,0.5010368233225588,0.2048559444383245,0.19676078712051023,
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,7,0.40684778637528285,0.7851237677228918,0.2756443925853254,0.401820792741891,0.40966498629555365,0.47165968152191623,
sentence-transformers/all-MiniLM-L6-v2,Hercules,direct,143,0.23960022427410615,0.9879513490299742,0.23329307864128548,0.5010368233225588,0.2048559444383245,0.19676078712051023,
