embedding_model,reduction_method,reduction_params,cluster_method,cluster_params,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.5}",HDBSCAN,{},58,0.2886869874597839,0.8762668364078522,0.22071988210046162,0.45445155652627645,0.29761312792658384,0.26451592518946987
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 15, 'min_dist': 0.5}",HDBSCAN,{},72,0.2910117444635038,0.8838758114730352,0.2277564080316594,0.42651069292154764,0.29409977049507824,0.39291418215483703
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.01}",Agglomerative,{},58,0.26370565084947867,0.9193207088326621,0.1825127837987681,0.47635817560232563,0.4608185561384715,0.433537989646347
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.01}",Agglomerative,{},72,0.22206308002708508,0.9168929202420444,0.14168100016937613,0.4382367227704765,0.47984179029339663,0.44442650348212726
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.01}",HDBSCAN,{},58,0.2893445164583889,0.8862187294709053,0.22744985065204507,0.47276534258603065,0.39730523932942025,0.37632994518872775
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.01}",HDBSCAN,{},72,0.28969409002179186,0.9004720926721588,0.2328631632537905,0.45926552788296127,0.44958887825571053,0.4361362082358207
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.1}",Agglomerative,{},58,0.25876455273373294,0.9186050212380498,0.1798797350637175,0.4743853829920146,0.45892286418039985,0.4314430948263349
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.1}",Agglomerative,{},72,0.22324885810743741,0.9166627903655556,0.14394944918396024,0.4399482088774816,0.4587469700007157,0.43929871885788047
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.1}",HDBSCAN,{},58,0.30911379423803137,0.8958515417477629,0.2520056458676039,0.48760960193038166,0.3684687055803368,0.3181253382204502
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.1}",HDBSCAN,{},72,0.25103923358181207,0.9007111992459574,0.19280770487902893,0.4448343938581761,0.37229951380631726,0.4167040190477033
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.5}",Agglomerative,{},58,0.26518610201454007,0.9192195169720784,0.18477727959747742,0.47306781928166863,0.44679889887950025,0.41977445213824827
Qwen/Qwen3-Embedding-0.6B,UMAP,"{'n_components': 50, 'n_neighbors': 30, 'min_dist': 0.5}",Agglomerative,{},72,0.2183442952993855,0.9165795518995915,0.13898924980993768,0.43643472737461175,0.47215369854931954,0.43855741318864283
