embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI,Dendrogram_Purity,LCA_F1
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,6,0.4826670707888747,0.7922755742077435,0.35269540869955146,0.4245753402315628,0.5535452942674545,0.4591357330804379
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,64,0.24955265733595683,0.9599432777907205,0.22509825339151127,0.45221155378453454,0.2813105110527016,0.24319032166486543
Qwen/Qwen3-Embedding-0.6B,PCA,Agglomerative,454,0.14013618889208712,0.9850939412100017,0.10203920727480043,0.4267640792322605,0.2606852867049681,0.35686952723108517
Qwen/Qwen3-Embedding-0.6B,PCA,DC,6,0.4442207321857632,0.7775930835450326,0.3051862014899321,0.3820558359120125,0.515109450467415,0.43963966616493344
Qwen/Qwen3-Embedding-0.6B,PCA,DC,64,0.2465986028491369,0.95983078833564,0.22209083040676034,0.4546199331366406,0.2817231298332375,0.23818189851707552
Qwen/Qwen3-Embedding-0.6B,PCA,DC,454,0.14413368310676442,0.9851969829707403,0.10422540228483008,0.4347836926496523,0.25691532029934067,0.3671121411415184
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,6,0.4515087196248167,0.20471869371772744,-0.00023495055305249382,3.800625000020146e-05,0.2453093485310864,0.29569480014311816
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,64,0.17688376527168492,0.04197127289277369,1.0632822097179437e-05,0.0013356884977675488,0.0908942475600792,0.08795191777864134
Qwen/Qwen3-Embedding-0.6B,PCA,HDBSCAN,454,0.1126448058333544,0.08297592286953309,-0.00010990651541103971,0.002880595415025563,0.07561567855103482,0.2199284604585237
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,6,0.4928616627578235,0.7742138580819419,0.3473848696490306,0.39941274974805074,0.5846780976317534,0.4893203817807301
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,64,0.19668563599527633,0.9530957473033386,0.17200604665561142,0.4167458566296833,0.23911024400388278,0.21583874246100568
Qwen/Qwen3-Embedding-0.6B,PHATE,Agglomerative,454,0.1142106920276552,0.9837436854723842,0.09095800822429724,0.36897197648273067,0.21796957411529172,0.34194841406534643
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,6,0.5218007439204038,0.8093282347094164,0.40266573175844006,0.4153730739383217,0.5947223778032563,0.4712900597461532
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,64,0.20344563896222415,0.9578481377975527,0.1785260555231958,0.40017183714396687,0.23219204263806392,0.2050634566612826
Qwen/Qwen3-Embedding-0.6B,PHATE,DC,454,0.10510185886949307,0.9846415349987562,0.07541126660758277,0.35208754192001784,0.20571581097868008,0.3534359122480648
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,6,0.45001417347634604,0.20754892440275372,-0.0005832596616307954,0.00425938716812048,0.40384472256302706,0.3650580904189843
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,64,0.1719023115254009,0.12315499181035991,0.0011082917459119123,0.056495684394986465,0.15811778596443002,0.14556959780767068
Qwen/Qwen3-Embedding-0.6B,PHATE,HDBSCAN,454,0.10955332995386795,0.32684357738275127,0.003651673600824533,0.1288912766769848,0.15414766242214842,0.2946235941343799
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,6,0.527523541334995,0.7955140399473274,0.3968147706883315,0.4234824113569404,0.5684256502967002,0.47119456836442897
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,64,0.26589376983442464,0.9615057880871601,0.24076887057412577,0.47134299715062555,0.30395340622659217,0.24170557064251189
Qwen/Qwen3-Embedding-0.6B,PaCMAP,Agglomerative,454,0.17005571055290802,0.9854094195660621,0.12615955265849954,0.42512370247403214,0.2540485050896596,0.3860598683272745
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,6,0.4136661627370111,0.74375214325224,0.2497918805960933,0.33082852713308303,0.49014383987119836,0.44442233914453305
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,64,0.2192836292629076,0.9602546603255344,0.1930561039344957,0.42871875674359455,0.22642295894749626,0.2038312628649879
Qwen/Qwen3-Embedding-0.6B,PaCMAP,DC,454,0.13508936694126353,0.9844415223945489,0.10533165758104747,0.4043375056817923,0.220576379228189,0.3404287370143677
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,6,0.440215770889707,0.2218056772014466,-0.004253301273844133,0.023609018150004515,0.40721558253015744,0.37806753259095965
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,64,0.1738003966201376,0.25030921630046565,0.007246116904720518,0.16442728374901674,0.20907341870264629,0.18413353267109156
Qwen/Qwen3-Embedding-0.6B,PaCMAP,HDBSCAN,454,0.13292681311850282,0.7402487779980783,0.032598287223607754,0.30260354535602063,0.19419830459133697,0.3174859618532057
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,6,0.5610620810631224,0.8190085079855226,0.44705327599103234,0.4589811885203412,0.5571790569176484,0.4837349093600566
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,64,0.21189727181845514,0.9580677284273186,0.18713520960674665,0.44779774136231665,0.26800741983981263,0.2362121168218683
Qwen/Qwen3-Embedding-0.6B,Raw,Agglomerative,454,0.1423681262348062,0.9851102061712631,0.10393017317310797,0.42953380016087256,0.233151318027441,0.35137614210803875
Qwen/Qwen3-Embedding-0.6B,Raw,DC,6,0.43514153875613937,0.7704814454018473,0.29112205764328064,0.36318257358220674,0.5294194336869087,0.45214649908847465
Qwen/Qwen3-Embedding-0.6B,Raw,DC,64,0.249659459041725,0.9598438312508539,0.22528894663586993,0.4539987450765784,0.2888248591002159,0.23816671949369658
Qwen/Qwen3-Embedding-0.6B,Raw,DC,454,0.14310010551658706,0.9851333976213437,0.10426853298025163,0.4341364037433775,0.24506225790214745,0.36508355521576763
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,6,0.4515087196248167,0.20471869371772744,-0.00023495055305249382,3.800625000020146e-05,0.2457584571372509,0.2938125267545841
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,64,0.17712633638741476,0.040237739304727606,3.816302522115612e-05,0.00042154135476655044,0.09741410202512281,0.08276049779684042
Qwen/Qwen3-Embedding-0.6B,Raw,HDBSCAN,454,0.1122794269904191,0.08071219887385668,-0.0002329577032930713,0.0009251108710965204,0.08591235417236344,0.22288310387702034
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,6,0.5677236348854129,0.8284054505514413,0.46056281432494267,0.4582695079719185,0.6092366032930968,0.4946935058972981
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,64,0.254176453842948,0.9605200877459618,0.22944868608862767,0.46472373071986833,0.2736215210199923,0.24710238218530753
Qwen/Qwen3-Embedding-0.6B,TriMAP,Agglomerative,454,0.15748638409208818,0.9851148845093092,0.1187096195766633,0.42364116545097674,0.2633626670315226,0.37317822067423745
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,6,0.3918541798444104,0.7365965341925165,0.22384995017745882,0.3206636942507813,0.4534607762378924,0.416165507899555
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,64,0.19138406894471896,0.9580730347912891,0.16598962934590586,0.41271435135823764,0.2101106310828451,0.19391736842561605
Qwen/Qwen3-Embedding-0.6B,TriMAP,DC,454,0.1167505025612884,0.9849101116506309,0.08284667492824875,0.37922095628114993,0.18109086936175192,0.33387608619344555
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,6,0.4460078055395857,0.21215543084599023,-0.0024825715513709765,0.011717169475278484,0.43824296691716425,0.38072783414692324
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,64,0.16769184994175457,0.2125771821106615,0.0031156617278881482,0.11982043182362469,0.1926406588513945,0.1842742703108378
Qwen/Qwen3-Embedding-0.6B,TriMAP,HDBSCAN,454,0.10967006853578794,0.37098981327387587,0.004767630125932475,0.1544754460240929,0.18894795201738335,0.3212117936710141
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,6,0.533054619884162,0.7158811718883654,0.3330306130797891,0.3827096430563924,0.5965248911784017,0.5047481451324513
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,64,0.27619406037619576,0.9226222911193966,0.21997617166393774,0.4587279970730479,0.3051851203740421,0.2637255354522715
Qwen/Qwen3-Embedding-0.6B,UMAP,Agglomerative,454,0.19460895690476288,0.9851779419528562,0.15634750358336233,0.4719282192059908,0.29754344821611006,0.4039267246234268
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,6,0.387910168879224,0.7130716023460718,0.2015491218670602,0.32492335290920926,0.4679922525322076,0.4232471595269768
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,64,0.24760826575487663,0.9610211250081416,0.22195782140782858,0.4598812028481324,0.2568502392723793,0.24040056598776094
Qwen/Qwen3-Embedding-0.6B,UMAP,DC,454,0.13480266744902666,0.9851482882070312,0.09612378124679911,0.42794722126179674,0.25478398498971216,0.367389339187811
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,6,0.45199598288415055,0.20601637731418906,0.0005958431365745074,0.002658031367835129,0.45470645915916824,0.41910102928935283
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,64,0.17193109222283526,0.22102702517517464,0.005149317308290633,0.11554468403346403,0.24459702371183806,0.22188238273452776
Qwen/Qwen3-Embedding-0.6B,UMAP,HDBSCAN,454,0.17717031437503403,0.9277857382339161,0.11128507842139058,0.43986446285173975,0.24160760071499995,0.35096038284488884
