embedding_model,reduction_method,cluster_method,level,FM,Rand,ARI,AMI
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,6,0.40719847844344786,0.37443013514764417,-0.005657164646220743,0.10134745867241761
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,28,0.25447089413260826,0.7707545871626785,0.11832852141429126,0.4357862702479472
Qwen/Qwen3-Embedding-0.6B,tSNE,DC,129,0.27630575552582837,0.9737015018773467,0.21813812668123755,0.46893944731353865
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,6,0.46165328823544594,0.26314160418402294,-0.005813721470273853,0.04071611347622211
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,28,0.2581568289746277,0.6600595518678031,0.08901038049246845,0.391940375936659
Qwen/Qwen3-Embedding-0.6B,tSNE,HDBSCAN,129,0.12557040872163988,0.9131852315394243,0.05485534807906478,0.2963792563652415
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,6,0.48101878279037746,0.2405784272887161,0.0021574172804885443,0.00299560643642918
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,28,0.19752581692201396,0.10288946599482947,0.0008721710194549457,0.004035656234006633
sentence-transformers/all-MiniLM-L6-v2,PCA,Agglomerative,129,0.09025696627278816,0.5068241551939925,0.007269894240014436,0.16925834597487488
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,6,0.4726930308045083,0.24709860686846247,-0.002554164028121846,0.015572490969420132
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,28,0.2107336535249601,0.876861727823956,0.13552183880938726,0.3606641235569519
sentence-transformers/all-MiniLM-L6-v2,PCA,DC,129,0.1437681784090113,0.9661232790988736,0.10256906372869426,0.29240570953425793
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,6,0.18084954947538062,0.7750566972137369,0.05119671261967424,0.2579426952876956
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,28,0.37280042847881434,0.952349722296231,0.34699914232628704,0.4157623228764887
sentence-transformers/all-MiniLM-L6-v2,PCA,HDBSCAN,129,0.07732996742286233,0.8781351689612015,0.022643100047277286,0.1781334839438362
sentence-transformers/all-MiniLM-L6-v2,PHATE,Agglomerative,6,0.47967839882987756,0.26993369897250763,0.012935833608470684,0.05069013844720753
sentence-transformers/all-MiniLM-L6-v2,PHATE,Agglomerative,28,0.23146835710234212,0.44169391979528677,0.040637767208304754,0.32274731499256226
sentence-transformers/all-MiniLM-L6-v2,PHATE,Agglomerative,129,0.194802848003788,0.9050093867334168,0.08660806283192062,0.4720514283960781
sentence-transformers/all-MiniLM-L6-v2,PHATE,DC,6,0.34360249983467084,0.5242091317226696,0.017502672334982313,0.07948227367289137
sentence-transformers/all-MiniLM-L6-v2,PHATE,DC,28,0.18466386038724736,0.6037897707809375,0.03517558152480238,0.21962158555703687
sentence-transformers/all-MiniLM-L6-v2,PHATE,DC,129,0.11699218232327106,0.9397403003754693,0.06175528216729107,0.27444732789779064
sentence-transformers/all-MiniLM-L6-v2,PHATE,HDBSCAN,6,0.2761494201954387,0.7849439970378599,0.12032392284678471,0.3947559469349264
sentence-transformers/all-MiniLM-L6-v2,PHATE,HDBSCAN,28,0.3744129541867728,0.9177809463301234,0.3122393283571645,0.53347498551558
sentence-transformers/all-MiniLM-L6-v2,PHATE,HDBSCAN,129,0.12675004969108766,0.8092334167709637,0.03394789883219666,0.29804885901549616
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,Agglomerative,6,0.5028867776159078,0.4816862214199759,0.13704189231602606,0.3810925763087672
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,Agglomerative,28,0.3719298523917461,0.8388147011720065,0.23528792804176993,0.6062900436555995
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,Agglomerative,129,0.2666833927655369,0.9496902377972466,0.16273904530690872,0.5249993861461963
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,DC,6,0.3950402197170858,0.4466062667777469,0.020193368024754903,0.051730868472676016
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,DC,28,0.15939730853983491,0.8281135174542016,0.06882012882342702,0.2656586936752857
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,DC,129,0.08239572144647188,0.9361420525657072,0.03876852039368939,0.1951808653571305
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,HDBSCAN,6,0.2681772051279617,0.7840356845320744,0.11247372350929882,0.43385910816361223
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,HDBSCAN,28,0.5224705528083152,0.9542498777634966,0.4940508452373363,0.6147931806920107
sentence-transformers/all-MiniLM-L6-v2,PaCMAP,HDBSCAN,129,0.08520964542927033,0.014687108886107634,-9.440675750461309e-06,-8.766870500005373e-05
sentence-transformers/all-MiniLM-L6-v2,UMAP,Agglomerative,6,0.4797389213443659,0.4888717254466352,0.12095331257304168,0.3583112889934089
sentence-transformers/all-MiniLM-L6-v2,UMAP,Agglomerative,28,0.5290970120532262,0.9373680650913041,0.4678773404091057,0.7177693981464807
sentence-transformers/all-MiniLM-L6-v2,UMAP,Agglomerative,129,0.3395711346297807,0.9711545682102628,0.2557900326370354,0.5896859835361997
sentence-transformers/all-MiniLM-L6-v2,UMAP,DC,6,0.33614791188667725,0.6492293807275756,0.10017250930098903,0.19225142812536186
sentence-transformers/all-MiniLM-L6-v2,UMAP,DC,28,0.17885748105846294,0.8916091593934727,0.11661212083044481,0.3050836074868848
sentence-transformers/all-MiniLM-L6-v2,UMAP,DC,129,0.09266185706847371,0.9118397997496871,0.036975345162299604,0.234618129225954
sentence-transformers/all-MiniLM-L6-v2,UMAP,HDBSCAN,6,0.21670844393913358,0.7782444691289456,0.07536131200239399,0.3928737139301928
sentence-transformers/all-MiniLM-L6-v2,UMAP,HDBSCAN,28,0.5005237303664443,0.9272202394371558,0.42769332077208144,0.6619568521156177
sentence-transformers/all-MiniLM-L6-v2,UMAP,HDBSCAN,129,0.0875073062417739,0.07014080100125157,0.0008298017827101724,0.029218014653223233
sentence-transformers/all-MiniLM-L6-v2,tSNE,Agglomerative,6,0.46154187057988094,0.2998443719337221,0.009569472725421694,0.06678003086553637
sentence-transformers/all-MiniLM-L6-v2,tSNE,Agglomerative,28,0.223097811317424,0.8054463315873764,0.10927224046519055,0.3179199374404962
sentence-transformers/all-MiniLM-L6-v2,tSNE,Agglomerative,129,0.0748318634297961,0.9678316645807259,0.0504152711857088,0.15177101313020522
sentence-transformers/all-MiniLM-L6-v2,tSNE,DC,6,0.4006845167818687,0.4258597148940109,0.014297264255160112,0.022035965439293054
sentence-transformers/all-MiniLM-L6-v2,tSNE,DC,28,0.1728588983620036,0.8743145240388698,0.10111795941906469,0.27621511943309085
sentence-transformers/all-MiniLM-L6-v2,tSNE,DC,129,0.08344079318909366,0.9688454317897371,0.05822754450236417,0.15856878949412137
sentence-transformers/all-MiniLM-L6-v2,tSNE,HDBSCAN,6,0.10238837832274697,0.7660632463204665,0.02186255009768165,0.1520521380213557
sentence-transformers/all-MiniLM-L6-v2,tSNE,HDBSCAN,28,0.2078498997331741,0.9152220312632667,0.16002377452688668,0.3128589383659602
sentence-transformers/all-MiniLM-L6-v2,tSNE,HDBSCAN,129,0.10429397189662712,0.5371620775969962,0.011441998544538354,0.17431905029804368
